name,platform,release_date,summary,metascore,userscore
24: The Game,PlayStation 2,"February 28, 2006","24: The Game is set between seasons two and three and provides the answers to many unanswered questions: who was really behind the assassination attempt on President Palmer? How did Kim Bauer get a job in the L.A. CTU? How did Jack Bauer and Chase Edmunds first start working together? The game has jaw-dropping revelations for '24' fans and thrilling, non-stop time-pressure gameplay. 24: The Game has multiple character plots and strands and over 100 missions covering multiple genres of game-play including: on-foot sections with shooting, stealth, puzzles and sniping; driving challenges varying from stealthy tailing to high-speed pursuits; interrogations where you have to coerce information out of suspects and gadget sections including decoding information and examining satellite images. [SCEE]",62,7.9
25 to Life,PlayStation 2,"January 17, 2006","25 to Life is the game the streets have been waiting for. Play as either cops or gangsters in this urban third person shooter. The game delivers intense Online gameplay for up to 16 players, as well as a rich single player experience. Set in the heart of today's cities, experience the gritty lifestyles of police task forces or as a gangster survive the local neighborhood thugs while fighting your way up the inner sanctum of the drug lord's mansion, your knowledge of the streets will be put to the test because...25 to Life IS the streets!  [Eidos Interactive]",39,5.2
4x4 Evolution,PlayStation 2,"February 26, 2001","4x4 Evolution takes gamers for a rough ride through 15 off-road courses, each with its own distinctive design, music score, and difficulty level. In addition to contending with the other vehicles, you'll face challenges such as gates, trees, and tractors in junkyards or oncoming traffic in construction zones. Win cash in a series of off-road races to upgrade your truck. You can even stop, rewind, and view an entire race again from multiple camera angles and different racers' perspectives.",64,6.4
50 Cent: Bulletproof,PlayStation 2,"November 17, 2005","In 50 Cent's video game, 50 gets caught in a web of corruption, double-crosses and shady deals that lead him on a bloody path through New York's drug underworld. Working with the unlikeliest of allies, the streets heat up as 50 Cent takes on the most dangerous crime families in the city, uncovering an international conspiracy with devastating implications. The streets are watching as 50 Cent blasts his way to the truth. [Vivendi Universal]",47,6.6
7 Wonders of the Ancient World,PlayStation 2,"November 20, 2007","This action-adventure puzzler from developer Hot Lava lets gamers re-create history as they match magical runes to help workers build legendary landmarks of the ancient world such as the Great Pyramid of Giza and the Hanging Gardens of Babylon. 7 Wonders of the Ancient World lets gamers explore ancient lands through three modes of play - Story, Free Play, and Rune Quest - that cover more than 140 levels and three modes of difficulty. Collect eye-popping powerups like the Lightning Bolt or Fire Bomb to help you in your race against the clock, and learn about history while having fun. [MumboJumbo]",tbd,tbd
AC/DC Live: Rock Band Track Pack,PlayStation 2,"November 2, 2008","AC/DC LIVE: Rock Band Track Pack is a fully-featured, standalone extension to the multi-million unit selling, genredefining, cultural phenomenons Rock Band and Rock Band 2, the ultimate social music game experiences. AC/DC Live lets you and your friends relive AC/DC's epic 1991 live performance at Donington, UK, through the eyes of Brian Johnson, Angus Young, Malcolm Young, Cliff Williams, and Chris Slade.",tbd,tbd
AMF Xtreme Bowling,PlayStation 2,"June 13, 2006","Experience the excitement of a night at the lanes with AMF Xtreme Bowling. With six different gameplay modes, nine different enviornments and customizable character creation, the competition is always fresh and fun. Accurate ball, pin and lane physics provide a realistic experience. Compete in a variety of enviornments including the AMF Xtreme Bowling experience for added intensity and fun. Play in single-player or take advantage of multiplayer options with Quick Match, Tournament, League or Match Challenge Mode. [Sony]",30,4.2
ATV Offroad Fury,PlayStation 2,"February 5, 2001","Conquer the terrain with 12 rugged ATVs and large offroad environments. ATV Offroad Fury delivers the excitement of ATV racing with high-performance two-stroke and four-stroke ATVs, 20 free-roaming race environments, and six unique events. Race authentic ATVs through six challenging events, including Cross Country Enduro, Stadium Supercross, and Freestyle Stunt. You'll speed through whole deserts, forested landscapes, and old train yards. With realistic crashes, authentic stunts, and intense competition, ATV Offroad Fury immerses players in the action-packed world of offroad racing.",82,8.4
ATV Offroad Fury 2,PlayStation 2,"November 9, 2002","Race anywhere, anytime as you gun your ATV to the finish line. Is that a rocky mountain in your path? Take it on. Stuck by some thick woods? Play through them. With more than 20 all new ATVs, 40 offroad environments, mini-games, seven race modes and even online play, ATV Offroad Fury 2 challenges you to conquer the terrain against top riders through massive, stunning environments. But don't get caught watching the beautiful scenery. The mountains won't have mercy on you ... and neither will the competition. [SCEA]",82,8.7
ATV Offroad Fury 3,PlayStation 2,"November 2, 2004","ATV Offroad Fury 3 provides intense, free-roaming offroad racing gameplay, packed with additional courses, larger environments, extra modes, mini-games, more ATVs, online gameplay via the Network Adaptor and future support for the internal Hard Disk Drive. Through both on- and offline gameplay, players tear it up anywhere and blaze their own trail, choosing from more than 24 highly detailed ATVs ? including six competing ATVs in all singleplayer and multiplayer modes that offer varied gameplay. With visually stunning backgrounds featuring water and mud effects and fully interactive objects and instances such as ramps, tires, cones and trees, ATV Offroad Fury 3 includes new short track, one-day events and Olympic championships. Playable from both first- and third-person perspectives, ATV Offroad Fury 3 features two main modes of play containing race, freestyle, career, mini-games and multiplayer games. Other modes will include a training course and waypoint editor. In ATV Offroad Fury 3, players will have the ability to race in more than 30 unique environments with six distinct terrain types including snow, dirt, mud, ice, water and grass, as well as compete in eight exciting mini-games including king of the hill, treasure hunt, tag, hockey, soccer, basketball and pre-load ? to play in all multi-player modes. Supporting up to six players online with voice-chat capabilities via the USB Headset, ATV Offroad Fury 3, includes a new comprehensive online scoreboard system that records event data for players and clans within all race types. [SCEA]",78,8.0
ATV Offroad Fury 4,PlayStation 2,"October 31, 2006","Select your favorite ATV, or for the first time in franchise history, MX Bikes, Buggies, and Trophy Trucks to race through 72 tenacious tracks on six different continents en route to the checkered flag. Featuring an all-new story mode, players will be able to live the life of a rookie rider and earn a path to the ranks of professional racer. Players will experience the drama and intensity of realistic offroad racing with increasingly difficult race challenges and events all tied together with engaging, story-driven Full Motion Videos (FMVs). ATV Offroad Fury 4 adds cross communication capabilities with ATV Offroad Fury Pro for the PSP (PlayStationPortable) system, including vehicle exchanges and upgrades, shared online communities, and the ability to share user created circuits. Adding to the selection of classic ATVs, more than 30 new vehicles are available to race including MX bikes, buggies, and trophy trucks. Extensive vehicle customization provides players the chance to upgrade a vehicle's suspension, engine, gearbox, exhaust, intake, and brakes. New Cross-Connection Compatibility with ATV Offroad Fury Pro for PSP – Players are now able to share customized circuits, exchange and upgrade vehicles, and access chat rooms and newsgroups with the upcoming ATV Offroad Fury Pro for PSP. [SCEA]",77,8.8
ATV Quad Power Racing 2,PlayStation 2,"January 13, 2003","ATV: Quad Power Racing 2 is all about big tricks, big boots to the face and big finishes. It's arcade ATV racing like you always wanted it to be. ATV Quad Power Racing 2 combines 10 of the top pro riders in the world (including Dana Creech, Kory Ellis and Tim Farr) and 40+ real-life sponsors with the fast, edge of your seat, arcade gameplay the fans of the original know and love. Get ready to get injured. [Acclaim]",68,7.2
ATV: Quad Power Racing,PlayStation,"August 23, 2000","Hit the dirt with the only quad racing game available! Power slide, roll over, crash and take on the competition in rough terrain with ATV: Quad Power Racing!",42,4.5
Ace Combat 04: Shattered Skies,PlayStation 2,"November 1, 2001","The Ace Combat series soars once again. Experience aerial combat like never before. A brand new gripping storyline and 18 fabulous missions will keep pilots-to-be on the edge of their seats. Released as ""Distant Thunder"" in UK & Europe. [Namco]",89,8.7
Ace Combat 2,PlayStation,"July 31, 1997","We've devised a weapon that's deadlier than a smart bomb. It's called a smart pilot. Now, Ace Combat 2 pits you against a whole squadron of them - 3-D polygonal jet jocks that maneuver like the real deal, turning every scorching sortie and dogfight into a kill-or-be-killed situation. With nearly double the missions of its predecessor, you'll double your chances of taking out the enemy. (Or taking a heat-seeker up the exhaust.)",83,8.6
Ace Combat 5: The Unsung War,PlayStation 2,"October 25, 2004","(Also known as ""Ace Combat 5: Squadron Leader"")  With more than 50 different licensed planes and an intense storyline extending over 30 missions, players will be put to the ultimate test, including air-to-air combat, air-to-ground fighting, air-to-sea assaults, rescue, recon and much more. Incorporating ultra-realistic beautifully rendered in-game graphics and cinematics along with unparalleled game play; ACE COMBAT 5 goes a step beyond the traditional air combat gaming experience. One of the exciting new features to the sequel includes Wingman Command, where players can issue directives to their wingmen mid-mission to carry out coordinated group attacks. Additionally, the in-game radio communications with the squadron and enemies adds to the realism and intensity of the dynamic battle sequences. In the game's premise, it is September 23, 2010 on distant Sand Island, a small island in the Ceres Ocean that divides the two superpowers, Osea and Yuktobania. An entire military base is on red alert--the 108th Tactical Fighter Squadron intercepted an unidentified aircraft and the entire squadron was decimated. You are a fighter pilot, part of the new squadron that's been called into action to protect your nation of Osea. Now, the story begins to unfold. [Namco]",84,8.9
Ace Combat Zero: The Belkan War,PlayStation 2,"April 25, 2006","Ace Combat Zero: The Belkan War thrusts players back in time, 15 years before the events of ""Ace Combat 5,"" and reveals the events that led up to the last chapter of the franchise. Players will take on the role of a mercenary hired to fly for Ustio, a small country bordering Belka, and face off against rival pilots throughout the game. Ace Combat Zero: The Belkan War introduces rival pilots to the series' traditional dogfighting action. Players will encounter highly skilled enemy pilots that they will engage throughout the course of the story. Adding even more tension to the game's dramatic air battles, these rival pilots utilize advanced battle tactics to attack the player while directing their own squadron. [Namco]",75,8.6
Action Bass,PlayStation,"July 14, 2000","Do you have what it takes to get the biggest bass in the pond on your hook? Do you know the right lures to use in ever changing water conditions? Can you battle the bass and lure im in? Or will he break the line and be the one that got away???? If you think your up to the callenge,
THEN GET READY FOR ACTION BASS!",51,tbd
Activision Anthology,PlayStation 2,"November 19, 2002","A classic gaming compilation that delivers over 40 Activision games for the Atari 2600 from Barnstorming to River Raid, plus never-before-released titles! For the total retro gaming experience, you can choose from ""Classic"" mode or ""3D Enhanced"" options which offer a challenging twist to these timeless classics. You are also able to go online and download new games and demos, as well as historical info about Activision, the games and their creators. An 80's hit soundtrack featuring favorite artists from the decade brings the nostalgia full circle.",75,7.3
Adventure Pinball: Forgotten Island,PlayStation 2,"November 14, 2001",,tbd,tbd
Aeon Flux,PlayStation 2,"November 15, 2005","Aeon Flux is based on Peter Chung's popular futuristic MTV animated series and features a palpitating blend of stealth, speed and acrobatic combat. As beautiful as she is lethal, Aeon Flux is an agent whose abilities transcend everyday belief; she will depend upon those skills and talents to rid the city of Bregna from an evil tyranny. Paramount Pictures'/Lakeshore Entertainment's Aeon Flux is set 400 years in the future, when disease has wiped out the majority of the earth's population except for one walled, protected city-state, Bregna, ruled by a congress of scientists. The story centers on Aeon Flux (Charlize Theron), the top operative in the underground 'Monican' rebellion, led by The Handler (Frances McDormand). When Aeon is sent on a mission to kill a government leader, she uncovers a world of secrets. [Majesco]",66,5.7
Aero Elite: Combat Academy,PlayStation 2,"March 10, 2003","Aero Elite is your opportunity to train as a fighter pilot and master the intricate flight mechanics and high-tech weaponry of today's latest aircraft. Take part in rigorous training, where you will master more than 60 types of aircraft, from jump jets to choppers. Through a wide range of combat scenarios, you'll hone your skills and perfect a wide variety of difficult aerial maneuvers. These will come in handy as you become intimately involved with radar-guided missiles, heavy machine guns, and terrestrial targets in need of destruction. Are you skilled enough to become one of the Aero Elite? Pilot more than 60 authentically-modeled aircraft, including helicopters. Battle above 12 different areas during morning, day, or night under various weather conditions. Master aerial acrobatics through realistic training. Outsmart deviously aggressive enemy squadrons. [Sega]",64,7.5
Agassi Tennis Generation,PlayStation 2,"August 25, 2003","Play as Andre Agassi, or compete against him, as you smash, volley, lob and serve on courts from all over the world and try and win your way to the top ranks of tennis stardom! [DreamCatcher Interactive]",tbd,5.6
Aggressive Inline,PlayStation 2,"May 28, 2002","Features the top pros in the industry like 2001 Gravity Games and X Games Vert Champion Taïg Khris, 2001 X Games Street Champion Jaren Grob, the founding father of Inline Skating, Chris Edwards in additon to Franky Morales, Shane Yost, Matt Lindenmuth, Eito Yasutoko, Sven Boekhorst, Matt Salerno and Sam Fogarty. Introduces the Juice Meter and Action Button with up to 60 objectives and 15 cinematic events per each of 7 huge levels. Soundtrack includes bands such as Hoobastank, Black Sheep, Pharcyde, Reel Big Fish, Sublime. [Acclaim]",85,8.7
AirBlade,PlayStation 2,"January 28, 2002","No Wheels, No Waves, No Snow, means NO LIMITS! Features an awesome mission-based Story Mode, unbelievable tricks and stunts, and even a Party-Play mode for up to 8 players. Experience the extreme physics of AirBladeTM and find out just how much fun you've never had! [Namco]",70,6.1
AirForce Delta Strike,PlayStation 2,"February 3, 2004","(Also known as ""Airforce Delta Blue Wing Knights"") Strap in and take off. The latest addition to the successful AirForce Delta franchise flies onto the Sony PlayStation®2 Entertainment System with AirForce Delta Strike. Join a cast of highly skilled pilots and get lost in this gripping universe with multiple endings and non-stop action. AFDS flies into uncharted territory with its unique brand of action flight combat, interplanetary missions, compelling characters and intense futuristic storyline. [Konami]",66,7.0
Airborne Troops: Countdown to D-Day,PlayStation 2,"January 7, 2005","Airborne Troops is an absorbing infiltration action-adventure game that takes place in occupied France during the Second World War. On a mission to drop two secret agents into occupied territory the Sergeant's aircraft is shot down leaving one of his agents seriously wounded. It is now the Sergeant's duty to replace the ailing agent and complete the stealth missions himself. The gamer takes part in commando missions based on real events in the places where they actually happened, accurately recreated from archives and historical documents. The action is a mix of furious gunfights and stealth elements, with paratroopers equipped as they were at the time. [GMX Media]",39,7.2
Alfa Romeo Racing Italiano,PlayStation 2,"March 16, 2006","You are the driver. You've been given a finely tuned car which has been prepared by some of Italy's finest mechanics and you know it is fast enough to win. But do you have the skills? In Racing Italiano winning comes down to how tuned you are! Put your skills to the test across a wide variety of racetracks from the hills of Tuscany to the streets of Milan, from the forever-challenging Laguna Seca to the incredibly fast Hockenheim circuit. Be the first to experience exclusive features such as the Tiger Effect, which gives you the ability to reverse time in the race, and many other extraordinary elements that Squadra Corse brings to the driving genre.",tbd,6.8
Alias,PlayStation 2,"April 5, 2004","Alias is a third-person action adventure containing a unique blend of action and stealth that puts you under fire and under pressure. Whether you're up against the clock or being hunted by the enemy, fighting against the odds or fleeing for your life, the action is relentless. Utilize your incredible spyware and array of disguises to complete the most dangerous covert missions across the globe. Experience all the heart-stopping action and tension of the award winning TV series. [Acclaim]",64,7.7
Alien Hominid,PlayStation 2,"November 21, 2004","Alien Hominid is a fast-paced 2D side scroller where players must run, jump and shoot their way across the globe in persuit of the alien's coveted UFO. This version of Alien Hominid has been built specifically for consoles and it shows. The backgrounds ooze with parallax. Shrapnel scatters all over the screen. The explosions are the greatest hand-animated explosions to ever grace a television screen. Some of the bosses are so huge that we need to zoom out the camera to show them in their entirety (it's a cool feature, kinda like the scaling in Samurai Shodown). There are 16 hot levels, complete with mini-bosses and main-bosses. We've brought back all your old favorites and thrown in tons more. This game is overflowing with enemies, and they come armed to the teeth. Have no fear, the alien's arsenal has been taken up a notch! You now have seven power-up weapons, which also upgrade your grenades. A charge shot has been added so you can hold down your button and unleash a giant ball of destruction. You can dig into the ground for defensive measures, then reach up and pull your enemies under. Enemy riding and head biting is still intact, but you can now also flip over an enemy and carry him, or throw him in eight directions! Even two-player has been added, with the classic ""press start to jump in at any time"" mechanics! Twice the firepower! [Behemoth]",78,8.4
Alien Resurrection,PlayStation,"October 10, 2000","Ellen Ripley died trying to wipe out the Aliens. Now, 200 years later, scientists have resurrected Ripley - along with the Alien Queen - hoping to create the ultimate weapon. Teamed with a crew of renegade space pirates on a research vessel headed for Earth, they must fight for survival and destroy the Aliens once and for all.",61,7.5
Aliens Versus Predator: Extinction,PlayStation 2,"July 30, 2003","On a cold distant planet, the war against extinction is on and your command skills will determine its outcome. Control an Alien hive, Predator clan, or lead an elite squad of Colonial Marines and fight for the survival of your race. Harness the unique advantages as an Alien, Predator or Colonial Marine to wage war in 21 single-player missions. Control one of three different races - each with its own characteristics and abilities to suit any style of play. Upgrade up to 10 different unit types of various races including new, never before seen units such as the Predator Hydra or Alien Ravager. Engage the enemy in 21 unique maps, from jungles to deserts to high-tech laboratories. Utilize powerful resources and strategies including pulse rifles, exosuits and air strikes to unleash devastating attacks on your enemies. [Electronic Arts]",66,8.5
Aliens in the Attic,PlayStation 2,"August 4, 2009","The gameplay in this platform game focuses on the viewpoint of the four funny Alien characters. The Aliens' thirst of conquest will lead them from their planet to Earth and their first point of call is the kids' residence in Maine. The Aliens use weapons to mind control grown-ups and use them for their own gain. Their technology is ineffective against children however and they will need all their wit to take over the vacation home and finally, planet Earth. [Playlogic]",tbd,tbd
All-Star Baseball 2002,PlayStation 2,"March 12, 2001","This latest rendition sticks to the basic things that have made the series great, making it worthwhile even for those who aren't fans of the older games.",77,7.6
All-Star Baseball 2003,PlayStation 2,"February 26, 2002","New features include Expansion Play, which allows baseball fanatics to choose a city, stadium, and team logo and integrate that team into Major League Baseball, after which they'll draft from a pool of unprotected players in an expansion draft of free agents and Minor League players to build a team from scratch. 10 game modes include Season, Career, Franchise (with 20 consecutive seasons), All-Star Game, Home Run Derby, and Batting Practice. [Acclaim]",81,8.3
All-Star Baseball 2004,PlayStation 2,"March 1, 2003","Features on-line capabilities, featuring downloadable roster updates. History's greatest Negro League players such as Josh Gibson, Satchel Paige, and Buck O'Neil. All-new legends teams featuring Babe Ruth, Lou Gehrig, & Ty Cobb. Scenario mode where Derek Jeter introduces actual MLB footage to set-up in-game situations and recommendations. Pick-up game mode that enables you to choose up sides with your favorite players in all new stadiums. [Acclaim]",78,7.5
All-Star Baseball 2005,PlayStation 2,"April 8, 2004","All-Star Baseball 2005 gives you the most realistic ""between the lines"" game play experience ever with ASB05's exclusive FielderCam. The perennial best selling Baseball videogame franchise is more fun and accessible than ever before, packed with exclusive feature innovations, online head-to-head play AND the deepest franchise mode of any baseball video game. [Acclaim]",72,8.6
Alone in the Dark,PlayStation 2,"June 23, 2008","Taking inspiration from the presentation style and structure of a number of acclaimed and globally popular TV action dramas, Alone in the Dark is split into a number of distinct episodes in a season-style format. With approximately 30-40 minutes of gameplay comprising each episode, the structure of Alone in the Dark is adapted for an audience familiar with the hard-hitting bite-size delivery of contemporary TV dramas, offering easy accessibility whether the player has hours to devote or only wants a quick TV-style fix. Each time the player launches a saved game, the episode begins with a video summary of the previous episode to quickly re-immerse the player in the story, removing the need to remember where they were or what they were doing. Every episode closes with a nail-biting cliff-hanger ending to rattle players' nerves, and if the player is leaving the game a video teaser of the next episode plays to leave them wanting more. Alone in the Dark returns with a heart-stopping survival experience realized through the use of state-of-the-art real-time physics and unprecedented environmental interaction. Delivering an action-orientated experience within a highly detailed, open environment, Alone in the Dark once again strives innovation and excellence within the genre. [Atari]",47,5.1
Alone in the Dark: The New Nightmare,PlayStation,"June 18, 2001","From the moment Edward Carnby and Aline Cedrac set foot on Shadow Island, they are confronted by mysterious, evil creatures intent on thwarting their progress to recover 3 ancient tablets believed to hold the secret key to some incredible menacing phenomenon. Fears threaten from every corner. The slightest shadow could be hiding deep secrets, or concealing worse nightmares...",77,8.3
Alter Echo,PlayStation 2,"August 19, 2003","An innovative action game that lets players morph between three combat modes and alter time with pioneering TimeDilation technology. The game lets players assume the role of Nevin, a reluctant hero with the ability to alter time and morph his PolySuit between three unique combat forms. He must fight for survival against an entire planet that has gone mad-the surface of the planet is alive, and uses its bio-mechanical properties to spawn enemy after enemy, ensuring relentless action. A revolutionary PostFX camera system intensifies the action with spectacular visual effects that heighten the drama of every combo and special attack. [THQ]",62,7.0
Alundra,PlayStation,"December 31, 1997","Plagued by strange visions, the Dreamwalker Alundra is summoned to a troubled village where great evil lies in wait. Explore huge dungeons, find deadly weapons, solve challenging puzzles and fight the cast of foul creatures out to stop you in your tracks. This vast, enthralling adventure will keep you wide awake to the very end. ",86,8.6
Alvin and the Chipmunks,PlayStation 2,"December 4, 2007","Players play as the Chipmunks as they rock their way to the top of the charts by winning the ultimate battle of the bands contest, Rockathonapalooza. Alvin and The Chipmunks features fun music gameplay, popular licensed songs spanning many different eras, and a variety of play modes including multiplayer, mini-games and more. Live out rock stardom dreams with the power trio of Alvin, Simon and Theodore. Sing and play along to a deep soundtrack featuring popular licensed songs from many different era's including some of the original Chipmunk classics. Comical storyline surrounding the Chipmunk's universe. Challenge friends thru multiplayer including head to head mode. Offers a variety of mini-games mixed with core gameplay to keep the flow varied and exciting. Various levels of difficulty will keep players of all ages engaged.",33,5.4
American Chopper,PlayStation 2,"November 25, 2004","Get a job on the hit TV series American Chopper. Here's your chance to ride the bikes built by the Teutuls and featured on American Chopper. Choose from the P.O.W./M.I.A. Bike, Jet Bike, Black Widow Bike and more. But there's more -- you'll be sent on missions to create your very own original themed chopper that will rival those by Paul Sr. and Paul Jr. Experience first-hand all of the hard work, drama and thrill of creating one of the most beautiful bikes on the road today. Ride seven custom choppers from the hit Discovery Channel TV series. Customize your forks, wheels, fenders, gas tank and handlebars and paint and add details to your chopper. Race Paul Sr. and Jr. on a cross-country trip to Sturgis. Cruise the streets of Rock Tavern to gather together the top specialists to help you build your chopper. Gameplay modes include Career and Single Event.",47,7.3
American Chopper 2: Full Throttle,PlayStation 2,"November 20, 2005","Play as Paul Senior, Paulie, Mikey and Vinnie and experience the pressure and drama of the Discovery Channel hit TV series as you build four custom choppers for a motorcycle competition. Deal with the conflicts and problems that arise when you compete in family battles, races and other biker challenges in order to earn your parts and respect from Paul Senior. Everything culminates to a final showdown - are your custom creations up to the challenge? 12 theme bikes from the show - including the Fire Bike, Liberty Bike, Future Bike plus new bikes. Three times the number of parts in the 1st game for maximum customization. Parts now affect your speed, handling and acceleration, etc. Paint, chrome, powder coat, & add decals to your chopper. Earn better parts and respect from Paul Senior by competing in family battles, races and challenges. Variety of themed challenges and gameplay elements will test your chopper skills: race, perform stunts including sliding under a semi-trailer, experience police chases, and more. [Activision Value]",tbd,7.8
