name,platform,release_date,summary,metascore,userscore
A Buttload of Free Games,PC,"April 10, 2020","A collection of over one hundred completely free small games wrapped into one convenient launcher! Slash slimes, shoot lemons, blow kisses, do art comissions, take blood and so much more in these wacky, weird and wild games!
",tbd,tbd
A Glider's Journey,PC,"September 27, 2019","A Glider's journey is a short, minimalist, yet very challenging flight game. The goal is simple: Glide to the next landing zone and regain forward momentum along the way by collecting boosts.
",tbd,tbd
A Monster's Expedition,PC,"September 10, 2020","An adorable and relaxing open world puzzle adventure for monsters who love to learn about humans!
",tbd,tbd
A Sketchbook About Her Sun,PlayStation 4,"April 15, 2022","Confused about her feelings for someone, Lucia, the main character, decides to flee from her city and wanders through a smaller town where she's never been, searching for herself while still tormented by the thought of the person she's attracted to.

The project is an interactive experience divided into 11 segments, each corresponding to a song from Red Ribbon's new album ""Planet X"".

Lose yourself into Lucia's mindscape, divided between her thoughts, drawings and music she's listening to through her journey to re-discover her own self.",tbd,tbd
A Smooth Game (Unlike... Life),PC,"October 4, 2022","This game is about little Jessie (who is awfully depressed)'s journey to find a reason to stay alive. In smooth world life is so much smoother than real life. Don't get it wrong, there are problems in the smooth world as well - they just get resolved quicker and smoother than the real world!

Join with Jessie and see/hear various lives in the smooth world together... and find your own reason to stay alive as well (if you don't have any!)",tbd,tbd
A Wholesome Game About Farming,PC,"December 15, 2022","It's finally here, an honest to goodness game about farming! Nothing but you and the calming iterations of putting seeds into the ground and taking them back out after they've gotten larger and more vegetable-y. Maybe you'll even discover some new recipes to put them in! 

No need worrying about how your actions affect anything happening at night, because probably everyone is asleep and everything is fine. No reason anything that happens at night could affect anything happening on your farm because, as I believe I've said, everyone is sleeping at night.

You'll play as a struggling yet resilient and kind-hearted old farmer named Jep, and if there's any such thing as a ""vampire"" named ""Raluca"" who you ""play as"" at ""night"" I've certainly never heard of her and have no idea what you're talking about.",tbd,tbd
ABC Paint,PC,"September 3, 2018",ABC Paint is a simple Multiplayer VR drawing experience that anyone can start using in seconds. Randomized funny heads for players. Draw on your friends' head or paint them a stick figure body. The non-violent nature and ease of use makes the game suitable for even the youngest of players as their first step into VR.,tbd,tbd
ACA NeoGeo: Aggressors of Dark Kombat,Switch,"September 13, 2018","Anything goes to beat-up your enemies! No rules. No limitations for the fight! Aerial battle, provoking, faking, and throwing... anything is available! Weapons, strangleholds, no mercy even to the weakened enemy. Throwing attack? Fist fight? Try whatever you like! Giving 'em a tough attack, My hot blood burns like fire, Men won't stop fighting 'til they gain victory, Sing this winning song, Hot-blooded fighter's march!",tbd,tbd
ACA NeoGeo: Super Baseball 2020,PlayStation 4,"June 29, 2017","Conventional baseball no longer exists in the year 2020. The ""Super Baseball Association"" has been very profitable over the years with robotics power players up against the strongest of athletes. Due to the secret manipulation of certain robotics team players, abilities have been computer controlled to decide the outcome of certain games, benefitting the SBA. Die hard players discovered the SBA's cheating and have now disconnected several parts of the computers to achieve fair and challenging play. Now the games may continue in the famed ""Cyber-Egg"" Stadium where only power and skill will determine the winner!",tbd,tbd
ACA NeoGeo: The Last Blade 2,Xbox One,"February 15, 2018","The Last Blade 2, originally released in 1998, is the sequel to the fighting game, The Last Blade, which was released a year before. It picks up where the previous title left off and takes the story of battling at the gates of hell to its climax. This time around, there are 16 unique swordsmen from which to choose. Choose from 2 sword types (Strength and Attack). Deflect your enemy's attacks with ""Repel"". You can also cancel game-changing special moves like ""Super Secret Slice"" or ""Hidden Secret Slice"" with a ""Sublime Slash"", which connects to Super Secret Slice - just like in the previous title. And there are even some new features like aerial repels, aerial guards and knockdown recovery. Take your battles to a whole 'nother level!",tbd,tbd
AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,PC,"June 26, 2007",AGEOD’S American Civil War - The Blue and the Gray is a historical operational strategy game with a simultaneous turn-based engine (WEGO system) that places players at the head of the USA or CSA during the American Civil War (1861-1865). [Matrix Games],63,7.3
ARMORED HEAD,PC,"July 31, 2020","ARMORED HEAD is a miniature shooter, where all the action takes place in one arena. The main character is a gladiator who fights against his opponents in pursuit of the grand prize. His task is to defeat 30 waves of opponents, unravel all the secrets of the arena, and win the gold cup. The character will be collecting gold coins, which will help him unlock some useful features of the arena, and become the winner in the battles.",tbd,tbd
AVATAR: Consolidate,PC,"June 29, 2018","AVATAR: Consolidate-survival-shooter Game from the first person, the events of which takes place in outer space and on the planet Kepler 22b.
",tbd,tbd
Absolute Drift,iOS,"July 14, 2018","In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.",tbd,tbd
Absolute Drift: Zen Edition,Xbox One,"August 25, 2017","In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.",tbd,tbd
Abyss Manager,PC,"June 12, 2019","Abyss Manager is a dungeon management simulation game. You will play as a new manager of a small dungeon. Make it a formidable abyss.

You'll start with almost nothing, recruit minions, accumulate money, construct facilities, develop technology, explore the realm, have the dungeon's name up, defeat other dungeons and win the championship of the Dungeon League.",tbd,tbd
Ace Angler: Fishing Spirits,Switch,"October 28, 2022","A request has arrived from the “Encyclopedia of Unfortunate Creatures”. By catching certain creatures in “Ace Angler +”, you can unlock a range of fascinating information about unfortunate creatures.

    Catch the creatures that have escaped from the “Encyclopedia of Unfortunate Creatures” and return them to earn rewards.
    Check the encyclopedia after you’ve caught each animal to learn about their adorably unfortunate characteristics.",65,tbd
Achievement Collector: Zombie,PC,"January 25, 2019","Achievement Collector: Zombie. In this 2d action shooter, you play as a Car that kills zombies with cheese. Shoot the zombies with cheese.",tbd,tbd
Act of Aggression - Reboot Edition,PC,"May 10, 2016","Across three distinct factions each armed with the greatest modern and prototype military weaponry, head into some of the world's most volatile conflict zones, building bases for mass production, establishing resource supply lines, and waging war in Eugen Systems' explosive RTS. 

Act of Aggression - Reboot Edition brings the techno-thriller RTS game Act of Aggression to a higher level. The Reboot Edition offers a full gameplay overhaul: new resource system, playable builder units, new base buildings, simplified research system, and many major mechanic improvements for smoother and more dynamic gameplay in skirmish mode against the AI and in your multiplayer battles.

Either launch the original game or Reboot Edition as you see fit, and experience the new benchmark of real-time strategy games.",tbd,5.0
Adorable Girls,PC,"February 26, 2021","Adorable Girls is a puzzle game, where you need to restore pictures of adorable girls - piece by piece. Relaxing gameplay, based on watching dozens of beautiful girls (and solving puzzles, of cause). Every solved puzzle opens new and new charming pictures in your gallery. And if some puzzles will be too much tangled - in-game assistant always will solve them for you in one click.",tbd,tbd
Adventure Pinball: Forgotten Island,PC,"March 21, 2001","Electronic Arts utilizes the Unreal 3-D game engine, wild animation, and quick camera movements to create a pinball game unlike anything you've seen before.",60,7.3
Aerial Destruction,PC,"February 21, 2017","Aerial Destruction is a helicopter game set during battles between militaries and armed groups of bio-engineered mutants !

3 helicopters to play, easy to fly with cockpit and behind view, having their own armaments, tactics, gameplay and upgradable with credits points to achieve maximum destruction !

7 missions with objectives ranging from defending military outposts for as long as possible, destroying enemy convoys, storming enemy positions, supporting allied troops in assaulting enemy bases, etc...",tbd,tbd
After the 24th Century,PC,"September 15, 2021","In this era of destruction of human civilization, technological mistakes have caused human scientific civilization to slowly regress. Exploring the ruins allows players to go explore what happened before civilization went extinct.

After the 24th Century, the Japanese-style pixel PRG adventure game. Players explore the world in the game, the ultimate exciting action challenge, agile skills and leisurely movement to eliminate endless bosses.",tbd,tbd
Age of Booty: Tactics,iOS,"July 2, 2014",,tbd,tbd
Age of Empires III: The Asian Dynasties,PC,"October 23, 2007","Age of Empires III: The Asian Dynasties is the second expansion pack for Age of Empires III. Engaging gamers of all ages and types in epic warfare in the Eastern world, Age of Empires III: The Asian Dynasties will lead Japanese, Chinese and Indian civilizations to expand their empires. Playable Asian civilizations. Lead one of three unique Asian civilizations — Japan, China and India — to expand their empires and fight for control in the Eastern world. Each Asian civilization, led by powerful leaders, will have unique groups, armies and wonders, as well as buildings that reflect the culture’s architectural style. New gameplay elements. Extending upon the innovative gameplay of Age of Empires III, Age of Empires: The Asian Dynasties will introduce new ways of winning and trading, random map styles that feature remixes of classic Age of Empires game styles, and 15 new Asian Wonders. Returning to the historical, civilization-based single-player campaigns, Age of Empires III: The Asian Dynasties will offer gamers who enjoy the solo experience a chance to engage in strategic combat with Japan, China or India through several engrossing scenarios. [Microsoft]",81,8.4
Age of Wonders: Planetfall - Revelations,PlayStation 4,"November 19, 2019","Revelations introduces the ancient Heritor Secret Technology, new campaign missions, location mechanics and more. Revelations is the first expansion from Triumph Studios for Age of Wonders: Planetfall, the turn-based strategy game with in-depth empire building.",tbd,tbd
Aim Master H,PC,"June 24, 2020","Aim Master H is the first 2D Aim Game on Steam, designed to warmup and boost your aim quickly and easily. Each level counts with a highly stylized hand-drawn unique artwork.",tbd,tbd
AirMech Arena,Xbox One,"May 12, 2015","Free-To-Play Action Strategy 

AirMech Arena is the ultimate fast-paced, real-time strategy game. Control transforming robots, capture and protect bases, and build colossal armies in this highly competitive skill-based combat experience.

By Land and by Air

Transform between air assaults and ground attacks with the touch of a button. With nine AirMechs available all with unique traits and new skins added frequently, theres an ultimate war machine for every play style.

Your Army Your Way

Captain your AirMech with one of 12 pilots, each with diverse strengths and stats. Defend your territory and attack your enemies with over 80 different units. Go head-to-head against your competitors or unleash a hostile battalion. Strategy is open-ended with unlimited options.

Team Up or Go Solo

In AirMech Arena, gamers engage in ferocious real-time battles in a variety of modes. PvP allows up to 3v3 and players have the freedom to start skirmishes at any time. Battle teams are matched by their skill level.

Jump into Co-op mode with a friend to take on the AI, or experience Survival mode with up to four players and face off against endless waves of enemies.

For those who like to roll solo, experience Challenge mode, which tests your skills in timed trials and scope out the competition in Spectator mode and learn new strategies.

A Rich Collection of Items

Earn kudos and experience in battle to unlock a large arsenal of AirMechs, pilots, units, upgrades, special items and customizable skins to have a unique in-game look and gain the upper hand against your opponents. New items are added on a continuing basis.
 
Story
Details

In the future, the last survivors of the Great War continue their fight alongside the ultimate war machine: the AirMech. A shining symbol of science and engineering during the Golden Age of mankind, they were designed to be the most adaptable machines, which makes them the perfect weapon in this new era. In this combative future pilots use salvaged or stolen AirMechs to protect the weak, or to plunder and stockpile resources. Which side do you fight for?",tbd,6.5
Airline Manager 4,PC,"June 14, 2021","Create and manage your own airline strategy.

In this multiplayer aviation simulation game you have the possibility to become bigger than real businesses such as United Airlines, Emirates, British Airways, Lufthansa, American Airlines and Ryanair.

You can even travel while being idle on your couch to a big airport in an amazing city such as New York, Paris, Berlin, Los Angeles, London and Dallas - you don't even have to fly yourself!",tbd,tbd
Aka,Switch,"December 14, 2022","Find inner peace in a top-down, small, open-world game.
Make things better by growing plants, help others, craft and discover a carefully handcrafted island...
but demons from your past might come back to remind you what you want to forget.

***
Explore different biomes, from cloud forests to snowy mountains.
Connect with the island inhabitants.
A farming experience inspired by permaculture.
Gather resources to craft houses, musical instruments, clothes, etc.
Cook and prepare medicines.
Relax and the back of a giant monster, looking at the clouds or in hot springs under a cherry blossom tree.

But your hardest task will be to find a way to talk to these poor souls who are wandering on the island. These war victims are waiting for your help.",60,tbd
Akuya,PC,"December 15, 2016","Have you played enough serious games? Do you want to relax and have some fun with your friends? Well, maybe you can laugh on your own, it is only your decision.

""Akuya"" is not a normal game. It's actually weird to call it a game. IT'S NOT A GAME!

Are you here to buy a ""NO-GAME""? If you are, then go on! Try it!

Be the person who tries desperately to survive on an island in the middle of the ocean. 

Is it possible to survive? Of course not! After all we want to be realistic!

Have fun!",tbd,tbd
Ales Dash,PC,"June 7, 2018","Ales Dash is a Side-Scrolling 3D Action Game. You control Ales running forward and Clear the Level while over obstacles.
",tbd,tbd
Alien Battlefield,PC,"January 27, 2023","The game includes real-time strategic mode and chess mode. In real-time strategic mode, the units that the game can unlock are related to the player's upgrade route. In the chess mode, units will automatically attack the opponent until the winner is determined.
",tbd,tbd
Alien virus,PC,"May 11, 2021","""Alien virus"" is a doomsday survival RPG game. 

An unprecedented virus infection broke out in a secret laboratory in [Hank]. The mayor's hiding of the epidemic caused the death of billions of people worldwide. This virus was named by the United Nations as [Hank Virus Mutantvirus-17].

Pervasive and rapidly spread by air, in less than three weeks time, the virus causes earth's population to plummet, leaving five percent of the original...

The last hope of mankind... the last way...can only go underground...

The last underground fortress [Dharam City], the story begins here...

How to rebuild human civilization in this small fortress? How can humans resist this huge number of mutants?

Was it an accident? Or is it artificial?",tbd,tbd
All Glory to the Pixel King!,iOS,"May 16, 2013","Exciting news citizen! Our glorious King has passed a new law, specifically stating that 'The King's castle must at all times be at least 42% grander, cooler and shinier than those of his enemies.' The time has come for you, brave citizen, to fight for, and almost certainly die for, your King's noble dream to one day have his own private waterpark!Build an awesome fortress, stuff it with soldiers, catapults and whatnot, and lead your army into battle against other players' castles in devious turn-based combat!",tbd,tbd
All You Can Feed: Sushi Bar,PC,"April 20, 2018","All You Can Feed: Sushi Bar let's you handle your own Sushi place. Create Maki, Nigiri or Futomaki, served with Green Tea, Soy Sauce and Wasabi to satisfy to your customers.

The game works like a little tycoon, where you manage your own restaurant. Drag different ingredients onto each other to create over 200 different versions of Maki, Nigiri and Futomaki. Be fast, as you only have a limited amount of time to serve your customers.

Additionally, every level has a goal you must achieve to get to the next level.

After you finished this game you get a feeling of pride and accomplishment.

Are you ready to manage your own Sushi Play, or do you drown in orders?",tbd,tbd
Alpha Hole Prison,PC,"May 19, 2021","A Gay Prison Visual Novel Dating Sim! Earthling Miguel Sanchez has been sentenced to life at Alpha Hole, a notorious space prison. His survival depends on using his charms to convince a powerful ally to protect him.
",tbd,tbd
Amanda's Magic Book 5: Hansel and Gretel,PC,"June 9, 2022","When Amanda is put in charge of watching her nephew Cedric for a few days, she expects a relaxing, enjoyable visit, but Cedric's boundless energy and dreams of heroism soon leave her exhausted. In an effort to settle him down, she convinces him to read a book with her - a fairy tale called ""Hansel and Gretel.""

But books have power, and their peaceful reading experience turns into unexpected peril when Amanda and Cedric are both pulled into the world of the book!

Within the book's pages, villagers live in fear as their children go missing, a witch in the forest hatches a terrifying plot, and a girl begins a desperate search for her vanished brother... Can Amanda and Cedric make sure this fairy tale still has a happy ending?",tbd,tbd
Amber's Tales: The Isle of Dead Ships,PC,"May 1, 2014","Amber receives an alarming phone call - a desperate plea to return home at once because her father has vanished. Her homecoming leads to a shocking discovery. The entire village has been destroyed by a mysterious infestation of salt. All the townsfolk are frozen lifeless like a statues. Even Amber's Mother falls prey to the suffocating salt. Help Amber overcome the salty menace, save her family and restore humanity to the citizens of Port Bridge!",tbd,tbd
American Fugitive,PlayStation 4,"May 21, 2019","A modern take on classic sandbox action. Framed for your father’s murder, you’ll need to do whatever it takes to unveil the real culprit. Tackle thrilling missions for the criminal underworld — just don’t let the cops track you down! Set in the deep south of the 80s, American Fugitive is a love-letter to the classic movies and games of old.",66,5.5
Amihailu in Dreamland,PC,"August 23, 2016","Amihailu in Dreamland is a magical, dreamy adventure starring Amihailu Dugashoba and her friends! In this game, you'll wander the echoey and endless halls and spooky painting worlds to solve the mystery and escape the fantasy world. Or you would solve the mystery, if anything Amihailu said made a grain of sense!

The game features light adventure and visual novel elements. Players will explore and solve the world's sparse puzzles and untangle the bizarre narrative in the surreal landscape of an alternate dimension.",tbd,tbd
An Airport for Aliens Currently Run by Dogs,Switch,"August 25, 2022","An Airport for Aliens Currently Run by Dogs is a first-person open-world comedy adventure game with a very long name. You and your fiancee are the last two human beings left in the universe. Dogs run airports, along with the rest of society. 

Deal with alien logic, travel issues, and strange stock photo dogs as you attempt to stay in touch with the person you love, when you both live your lives on the go!",tbd,tbd
Analogue: A Hate Story,PC,"February 1, 2012","Back in the 25th century, Earth launched a generation ship into deep space, with the goal of establishing the first interstellar colony. It dropped out of contact and disappeared, never reaching its destination.

Thousands of years later, it has finally been found.

Uncover the mystery of what happened to the final generation aboard the generation ship Mugunghwa by reading through its dead crew's logs, with the help of a spunky AI sidekick!

Two pursuable characters. Five endings. A dark visual novel that further extends the non-linear style of Digital: A Love Story in a mystery featuring transhumanism, traditional marriage, loneliness, and cosplay.

Welcome to the future.",62,7.7
Ancra,PC,"October 29, 2021","A narrative driven, puzzle-horror game. Solve cryptic puzzles, embrace or evade vengeful specters, decide who to trust and unravel a mystery.
",tbd,tbd
Angle Isle,iOS,"February 28, 2013","Angle Isle is a game about being a bird. A bird needs to fly. To eat. To think on it's feet. But most of all: to avoid being eaten!FLAP CHECKLIST? A world of 45 degrees: diagonal lines run everywhere!? A hungry shark that hunts you? Tight Controls: choose Button or unique ""Flapper"" controls? Speedrun Leaderboards? Unlockable Sunset and Nightmare modes? Chiptunes!Nightmare mode features ""Above Slumberland"" by Tadpole. (Sooo good.)",tbd,tbd
Angry Birds Space,PC,"March 22, 2012","After a giant claw kidnaps their eggs, the Angry Birds chase it into a wormhole and find themselves floating in a strange new galaxy  surrounded by space pigs! Luckily the Angry Birds have super powers of their own...

Angry Birds Space features 170 interstellar levels on planets and in zero gravity, resulting in spectacular gameplay ranging from slow-motion puzzles to lightspeed destruction. With regular free updates, brand new birds, brand new superpowers, and a whole galaxy to explore, the sky is no longer the limit!",tbd,6.6
Animal Color Cross,DS,"June 28, 2010","[DSiWare]  Get hooked on colorful puzzles. The goal of the game is to reconstruct a mysterious animal image that lies beneath the grid. You just need to fill in each square of the grid with one of the appropriate colors available. To solve the puzzle, you can simply deduce the right color by using the numbers written around the grid. Don't worry, a short tutorial shows you the basic rules within a minute. Puzzle-solving champs, sudoku fans or even kids can enjoy the game. You can play 72 individual grids in up to 50 hours of game play. Players can select among eight levels presented as geographical zones including Europe, Oceania, North Pole, Pacific, North America and South America to discover local fauna. Enter a new world filled with fancy colored pixel art.",tbd,tbd
Animals Memory: Underwater Kingdom,PC,"January 22, 2018","Animals Memory: Underwater Kingdom is a card game with images of various underwater animals that will test your memory. The aim of the game is to find pairs of cards.
",tbd,tbd
Annie and the Art Gallery,PC,"April 12, 2022","Annie and the Art Gallery is a short, free horror RPG that aims to capture the feel from classic RPGMaker horror games.

You play as Annie, a girl who's finally got a ticket to the new art exhibit. When she gets there, however, she's dragged into a bizarre conflict that takes her through the museum's haunted basement.

Help Annie solve puzzles, figure out who to trust, and find out the truth of what happened there years before.",tbd,tbd
Another Dawn,Xbox One,"January 29, 2021","A quiet holiday on a tropical island suddenly becomes your worst nightmare when a ruthless criminal organization kidnaps your family. Battle against hunger, thirst, unscrupulous mercenaries and wild creatures in order to stay alive and save your beloved!",tbd,tbd
Ant in Training,PC,"September 15, 2022","Play as an ant in this top down pixel-art puzzle game. Gain new abilities after each level. Can you find all the hidden cats and unlock the secret shrine?
",tbd,tbd
Anyone There?,PC,"February 14, 2023","""Anyone There?"" is an Immersive first-person horror game where a creature is after you. Find his identity by scanning the clues scattered around the abandoned school. Cancel the ritual that created it.

Be wary because you never know when or where the creature is going to catch you.

Investigate this school and find out the truth. Your tablet is your only weapon to unravel this mystery and collect some information that will lead you to the resolution of the investigation.",tbd,tbd
Apocalypse Zombie Commando,iOS,"November 18, 2011","This shooter will take you back to the golden age of arcade games with the brand new look and hectic action....Empire of evil expands and starts to dominate. Special Zombie troup was rised only for one aim: eliminate the good. It's not late yet, get the gun and show Them Who's the boss !",tbd,tbd
Appetite for Detestation,PC,"May 19, 2021","Appetite for Detestation is a reverse-horror action platformer where you take the role of a monster awoken from a stone statue. 

Embark on a bloodthirsty rampage through randomly generated selection of a fictional Victorian era city locations into the Church to satiate your hunger with holy blood. Consume humans to fill your eternal hunger, battle against different types of opposing forces such as armed civilians and police officers seeking to end your destruction. Feast on the bodies of demon hunters to unlock more randomized devastating abilities to help you with your encounter with the final enemy; the holy priest Giappini.",tbd,tbd
Appli Archives: Nikoli Crossword 2,PlayStation Vita,"April 27, 2015",,tbd,tbd
Ar tonelico Qoga: Knell of Ar Ciel - Binary World [3rd Issue] Elemia Island Vol. 3,PlayStation 3,"March 15, 2011",,tbd,tbd
Aragami 2,Switch,"November 10, 2022","You are one of the last elite warriors of your kin, the Aragami. Victims of a supernatural affliction which corrodes the body and devours the mind, the Aragami control Shadow Essence - a mystical power which grants the ability to control the shadows. With this power the Aragami carry out their tasks and quests - assignments made all along the valley to ensure the subsistence of the village and to free the Aragami enslaved by the invader armies.

Aragami 2 is a third person stealth game where you play as an assassin with the power to control the shadows. Join the shadow clan and fight the invader armies to protect your people.",tbd,tbd
Arc Aether Anomalies,PC,"October 1, 2008","Arc Aether Anomalies is a six-degrees-of-freedom arcade action shooter inspired by such games as Descent, Geometry Wars, and Every Extend Extra. It's visually influenced by Innerspace, Metroid Prime, House M.D., Flow, and electron microscopy.",tbd,tbd
Arcade Archives: Baraduke,PlayStation 4,"November 10, 2022","Very peaceful and friendly planet, PACCET Planet, was attacked by mystery creatures. The people in PACCET Planet were all captured. You who went to investigate PACCET Planet found out that Baraduke Fortress of evil OCTY is built under the ground of beautiful PACCET Planet. Now you are the only one who can save this planet! Get armed with wave cannon and shield, and wipe OCTY out!!",tbd,tbd
Arcade Archives: Magical Speed,Switch,"February 9, 2023","The main characters, NICOLE and CLAIRE, go on a great adventure in search of the ""RAINBOW CARD,"" which can make any wish come true!

You win the game if you play all the cards in your hand and in the field first! If you play cards in a row, the demons will interfere with your enemies, making this a different kind of ""SPEED"" game!",tbd,tbd
Arcade Archives: Ordyne,PlayStation 4,"October 27, 2022","The evil Kubota has kidnapped Dr. Tomari's fiancée, Kana, and taken the colossal nuclear reactor Ordyne. In order to reclaim them, Dr. Tomari and his assistant Felix take to their battleships and head off in pursuit. Avoid enemies and advance through seven different levels that take place on land, sea, and air. Collect crystals from defeated enemies and use them to buy items or upgrades for your ship at the Space Inn. Do you have what it takes to defeat the boss at the end of each level and ultimately reach Kubota in the final stage, Kubota World?",tbd,tbd
Arcade Archives: The Tin Star,Switch,"April 2, 2020","Riding in on his white horse, the sheriff is here to take out the gang in a shootout faster than the eye can see! ""THE TIN STAR"" is a shooting game released by TAITO in 1983. Control the sheriff and take out the gang of thugs. Skillfully utilize features in the main stages, such as surprising the enemy or getting double points. Duel on horseback in the bonus stage! Take out the passing enemy in a single shot! 
The ""Arcade Archives"" series has faithfully reproduced many classic Arcade masterpieces.",tbd,tbd
Arcade Archives: XX Mission,PlayStation 4,"January 23, 2020","Enemy bullets and missiles pour down like heavy rain! Will you survive?

XX MISSION is a shooting game released by UPL in 1986.

While switching between air and ground attacks, take out the approaching large and small craft and large fleets.

Powering up allows you to use different powerful air attacks and wider ranged ground attacks depending on the ship's form.",tbd,tbd
Arcaxer,PC,"February 25, 2021","A turn-based VR RPG with first person action oriented combat, and a 3rd person god-view overworld. Dodge enemy attacks with your body in battles and explore procedural dungeons in 3rd person.
",tbd,tbd
Areigna Tactics,PC,"September 20, 2022","Areigna Tactics is a top-down hex based strategy game taking place in the world of Areigna, a fantasy world of Humans, Goblins, Dwarfs, and much more. Play in this multiplayer real time strategy game online in ranked matches with people all around the world.

Unlike many strategy games which are based on resources held and build times, Areigna's gameplay and balance focuses instead on cooldowns. These cooldowns vary across different units, and their attack and movement. You will need to balance these cooldowns and constraints in your building of new units, as well in the actions you command your units making their way to the enemy nexus.",tbd,tbd
ArkanoidSmoking,PC,"August 14, 2017","Unusual arkanoid with interesting levels and music back on personal computers with unusual graphics! Who knows, maybe this game will help you to quit Smoking.",tbd,tbd
Armored Core V,Xbox 360,"March 20, 2012","The ARMORED CORE series is known in the mech action genre for its intense one-on-one battles and customization options. ARMORED CORE V is a new entry that ups the ante with more content than the previous games, a completely new atmosphere, and a robust offline mode. In addition, the online mode has been newly designed to focus on huge team-based battles on a global scale. ",68,7.1
