name,platform,release_date,summary,metascore,userscore
3 on 3 NHL Arcade,PlayStation 3,"February 5, 2009","[Playstation Network]  With fast paced action, crushing hits and loads of room to experiment, 3 on 3 NHL Arcade promises to have gamers from all walks of life excited about hockey. With no rules to hinder the action, deliver devastating checks that send your opponent over the boards and watch as he has to skate back onto the ice. If the goalie comes out of his crease to play the puck, check him. Exaggerated player-looks take center stage with 40 of the top NHL stars, representing every team, skating around the miniature rink. With game-changing power-ups falling on the ice throughout each session, serious is not the name of this game. Fly down the ice with a super-speed skater, and beat a giant sprawling goalie with a trick move for that highlight reel finish. With two control schemes to choose from, players can pick between button controls that allow gamers of all skill levels to pass, shoot, hit and break out the all-new trick moves with ease, or the more advanced Skill Stick controls from NHL 09. 3 on 3 NHL Arcade also brings the online experience players have come to expect from EA SPORTS. In addition to standard ranked matches, 3 on 3 NHL Arcade allows the ability for three players on one console to play three other players on another console anywhere in the world. [Electronic Arts]",66,7.1
3D Dot Game Heroes,PlayStation 3,"May 11, 2010","A long, long time ago, the Dark King Onyx brought an age of darkness upon Dotnia Kingdom.  Only by the bravery of a hero with a legendary sword was Onyx sealed in an orb, restoring peace to the world.  But Fuelle, a powerful Dark Bishop, has stolen the orb, and with it, peace.  Dotnia requires a hero once more!  Can you live up to the legend? Ultimate retro love letter -- Seamlessly fusing new and old, the golden era of gaming is felt in every detail of this lovingly-crafted adventure. Eye-popping visuals capture the nostalgic charm of pixel graphics in cutting edge 3D. Simple, but deep action-adventure gameplay is a throwback to the 8-bit era. Veterans will find references and jokes that pay homage to the great games of yore. Awe and adventure live again -- Embark on the next generation of classic exploration and discovery in a grand story-based quest. A hero sets out to gain the power of the six sages and the six orbs that protected the kingdom of Dotnia, which now stands on the verge of destruction. Customize your hero -- When pixels are your building blocks, the possibilities are unlimited. Freely edit the look of your character, or design one completely from scratch, and then trade designs with friends via a compatible USB storage device. Your hero's blade is also upgradeable, letting you add length and width to create a sword that fills the whole screen. [Atlus USA]",77,7.8
3D Ultra MiniGolf Adventures 2,PlayStation 3,"November 16, 2010","In 3D Ultra MiniGolf Adventures 2, players are challenged to navigate their ball beyond obstacles using the help of secret shortcuts, game-changing power-ups and traps to sabotage the competition. Players can also manipulate the game by using special pick-ups to destroy course obstructions or even interfere with competitor's shots. Gamers can bring their A-game as they play in matches of up to four players locally or online. The sequel also offers an intuitive Map Editor tool, allowing full customization of virtual courses and the strategic placement of power-ups and traps. Putt through over 50 fun-filled holes in diverse locations, such as a Haunted Manor, a Manic Museum and a Winter Wonderland. As an added bonus, players can choose from up to four customizable animated characters and are invited to play using their own Xbox 360 Avatars and watch as their personalities unfold in every course. ",tbd,tbd
4 Elements HD,PlayStation 3,"August 30, 2011",4 Elements HD is a remake of the hit PC casual game from Boolat Games.,65,7.5
4 in 1 Action Pack,PlayStation 3,"August 1, 2012",The 4 in 1 Action Pack is a collection of four downloadable PS3 games.,tbd,tbd
4x4 Evolution,PlayStation 2,"February 26, 2001","4x4 Evolution takes gamers for a rough ride through 15 off-road courses, each with its own distinctive design, music score, and difficulty level. In addition to contending with the other vehicles, you'll face challenges such as gates, trees, and tractors in junkyards or oncoming traffic in construction zones. Win cash in a series of off-road races to upgrade your truck. You can even stop, rewind, and view an entire race again from multiple camera angles and different racers' perspectives.",64,6.4
5 Star Wrestling,PlayStation 3,"March 17, 2015","5 Star Wrestling is a game built on true Ring Psychology with Heel and Face mechanics, a revolutionary Limb Damage System and Rivalries that impact gameplay. Featuring a 40 Hour Challenge campaign with 128 challenges, over 400 objectives, and more moves-per-wrestler than any other game including never before seen Finisher-To-Finisher reversals, 5 Star Wrestling is brimming with content.

Introducing: Raganbrok 'The Conqueror', 'Raging' Andy Organ, HarVee Dee and Jonny 'The Bull' Miavia. 5 Star Wrestling is all about the characters, each coming with their own original theme music, massive move set and spectacular finishing maneuvers which look and feel different depending on the characters physical condition when executing the move. 5 Star Wrestling also features fully customizable, goal-oriented AI, with each character having 5 different personalities to choose from that will significantly change the way matches play out.

If you're a wrestling fan, this game was made for you!",tbd,tbd
50 Cent: Blood on the Sand,PlayStation 3,"February 24, 2009","After performing a sold-out concert in a fictional war-torn country, 50 Cent and the G-Unit are robbed of their cash and paid in kind with a priceless diamond encrusted skull, which is subsequently stolen by the local crime-lord’s gang. Determined to collect his payment and enact revenge on the gangsters foolish enough to disrespect him, 50 Cent sets out to get rich or die trying. 50 Cent: Blood on the Sand features intense third-person action/shooter gameplay, an intuitive cover system, drop in and drop out online multiplayer co-op, merciless melee counter-kills and a soundtrack that combines 50 Cent’s greatest hits with 18 exclusive new tracks. 50 Cent: Blood on the Sand puts players in control of their own virtual action film by blending visuals from the Unreal 3 game engine technology with an over-the-top story and voiceover work by 50 Cent and the G-Unit’s Tony Yayo, Lloyd Banks, and DJ Whoo Kid. [THQ]",72,6.8
50 Cent: Bulletproof,PlayStation 2,"November 17, 2005","In 50 Cent's video game, 50 gets caught in a web of corruption, double-crosses and shady deals that lead him on a bloody path through New York's drug underworld. Working with the unlikeliest of allies, the streets heat up as 50 Cent takes on the most dangerous crime families in the city, uncovering an international conspiracy with devastating implications. The streets are watching as 50 Cent blasts his way to the truth. [Vivendi Universal]",47,6.6
7 Wonders of the Ancient World,PlayStation 2,"November 20, 2007","This action-adventure puzzler from developer Hot Lava lets gamers re-create history as they match magical runes to help workers build legendary landmarks of the ancient world such as the Great Pyramid of Giza and the Hanging Gardens of Babylon. 7 Wonders of the Ancient World lets gamers explore ancient lands through three modes of play - Story, Free Play, and Rune Quest - that cover more than 140 levels and three modes of difficulty. Collect eye-popping powerups like the Lightning Bolt or Fire Bomb to help you in your race against the clock, and learn about history while having fun. [MumboJumbo]",tbd,tbd
99Vidas,PlayStation 3,"July 18, 2017","""99Vidas"" is a brawler set in a contemporary world, but that pays tribute to both the classic and the new in the gaming industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80's and 90's pop culture. ""99Vidas"" takes full advantage modern era gameplay mechanics, making it the best of both worlds.

6 stages (with more to come) will take you on a journey to different parts of the world to face hordes of fierce enemies and relentless bosses, but you don't have to do it alone: you can face this challenge with up to 3 other players in co-op play, both local and online.",tbd,tbd
A Boy and His Blob,PlayStation 3,"June 28, 2016","A Boy and His Blob makes its triumphant return! A reimagining of the NES classic, as the boy, you feed your blob jelly beans and watch him transform into cool and useful objects to solve puzzles and escape danger. With its robust and emotionally driven story, challenging puzzles, and visually impressive art style, A Boy and His Blob is sure to become a classic once again.

When Blobolonia is threatened by an evil Emperor, the blob comes to Earth looking for help. Instead, he finds a young boy. Help the blob dethrone the evil Emperor that's terrorizing Blobolonia and establish a friendship with the blob that will last a lifetime.",tbd,tbd
A-Men,PlayStation 3,"March 26, 2013","A-Men is played out at A-Cor, the world's biggest producer of A-Droids, robot soldiers, where A-Men's heroes work. The game kicks-off with a major explosion at the factory accidentally releasing hundreds of A-droid soldiers. And so the mind games begin...with your mission to round up all the wayward enemies.",67,6.2
A-Men,PlayStation 3,"October 17, 2012","A-Men is played out at A-Cor, the world's biggest producer of A-Droids, robot soldiers, where A-Men's heroes work. The game kicks-off with a major explosion at the factory accidentally releasing hundreds of A-droid soldiers. And so the mind games begin...with your mission to round up all the wayward enemies.",tbd,tbd
A-Men 2,PlayStation 3,"November 6, 2013","Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect.",34,tbd
AC/DC Live: Rock Band Track Pack,PlayStation 2,"November 2, 2008","AC/DC LIVE: Rock Band Track Pack is a fully-featured, standalone extension to the multi-million unit selling, genredefining, cultural phenomenons Rock Band and Rock Band 2, the ultimate social music game experiences. AC/DC Live lets you and your friends relive AC/DC's epic 1991 live performance at Donington, UK, through the eyes of Brian Johnson, Angus Young, Malcolm Young, Cliff Williams, and Chris Slade.",tbd,tbd
AC/DC Live: Rock Band Track Pack,PlayStation 3,"November 2, 2008","This exclusive deal marks the first time ever the band has included an entire album for video game play, with 18 live tracks from their prolific live performances becoming available in one electrifying, standalone game. The AC/DC LIVE: Rock Band Track Pack allows players to experience this amazing set list with Rock Band, Rock Band 2 or other compatible music game peripherals. AC/DC LIVE: Rock Band Track Pack features the master recordings from the best of the band’s live performances. The live recording was specially remixed for Rock Band by Mike Fraser. The game features 18 tracks, with more than 99 minutes of game play for each instrument. All tracks from the AC/DC LIVE: Rock Band Track Pack are also available for play in Rock Band and Rock Band 2 by entering a special export authentication code for the Xbox 360 and PS3 versions. [Harmonix]",60,5.3
AMF Xtreme Bowling,PlayStation 2,"June 13, 2006","Experience the excitement of a night at the lanes with AMF Xtreme Bowling. With six different gameplay modes, nine different enviornments and customizable character creation, the competition is always fresh and fun. Accurate ball, pin and lane physics provide a realistic experience. Compete in a variety of enviornments including the AMF Xtreme Bowling experience for added intensity and fun. Play in single-player or take advantage of multiplayer options with Quick Match, Tournament, League or Match Challenge Mode. [Sony]",30,4.2
AMY,PlayStation 3,"January 17, 2012","AMY is a survival horror/action adventure game, where players must protect, and escort the eponymous Amy - an enigmatic eight-year-old autistic girl with curious powers - as they try to get her out of a city overrun with wild creatures and dangerous enemies. The story follows Amy and the player character Lana, a woman who is trying to protect and save her in the disease-ridden town. They must work together to fight or flee from the aberrations, demons, and the military, in the hope of saving not only each other, but also the future of humanity itself.",33,3.1
ATV Offroad Fury,PlayStation 2,"February 5, 2001","Conquer the terrain with 12 rugged ATVs and large offroad environments. ATV Offroad Fury delivers the excitement of ATV racing with high-performance two-stroke and four-stroke ATVs, 20 free-roaming race environments, and six unique events. Race authentic ATVs through six challenging events, including Cross Country Enduro, Stadium Supercross, and Freestyle Stunt. You'll speed through whole deserts, forested landscapes, and old train yards. With realistic crashes, authentic stunts, and intense competition, ATV Offroad Fury immerses players in the action-packed world of offroad racing.",82,8.4
ATV Offroad Fury 2,PlayStation 2,"November 9, 2002","Race anywhere, anytime as you gun your ATV to the finish line. Is that a rocky mountain in your path? Take it on. Stuck by some thick woods? Play through them. With more than 20 all new ATVs, 40 offroad environments, mini-games, seven race modes and even online play, ATV Offroad Fury 2 challenges you to conquer the terrain against top riders through massive, stunning environments. But don't get caught watching the beautiful scenery. The mountains won't have mercy on you ... and neither will the competition. [SCEA]",82,8.7
ATV Offroad Fury 3,PlayStation 2,"November 2, 2004","ATV Offroad Fury 3 provides intense, free-roaming offroad racing gameplay, packed with additional courses, larger environments, extra modes, mini-games, more ATVs, online gameplay via the Network Adaptor and future support for the internal Hard Disk Drive. Through both on- and offline gameplay, players tear it up anywhere and blaze their own trail, choosing from more than 24 highly detailed ATVs ? including six competing ATVs in all singleplayer and multiplayer modes that offer varied gameplay. With visually stunning backgrounds featuring water and mud effects and fully interactive objects and instances such as ramps, tires, cones and trees, ATV Offroad Fury 3 includes new short track, one-day events and Olympic championships. Playable from both first- and third-person perspectives, ATV Offroad Fury 3 features two main modes of play containing race, freestyle, career, mini-games and multiplayer games. Other modes will include a training course and waypoint editor. In ATV Offroad Fury 3, players will have the ability to race in more than 30 unique environments with six distinct terrain types including snow, dirt, mud, ice, water and grass, as well as compete in eight exciting mini-games including king of the hill, treasure hunt, tag, hockey, soccer, basketball and pre-load ? to play in all multi-player modes. Supporting up to six players online with voice-chat capabilities via the USB Headset, ATV Offroad Fury 3, includes a new comprehensive online scoreboard system that records event data for players and clans within all race types. [SCEA]",78,8.0
ATV Offroad Fury 4,PlayStation 2,"October 31, 2006","Select your favorite ATV, or for the first time in franchise history, MX Bikes, Buggies, and Trophy Trucks to race through 72 tenacious tracks on six different continents en route to the checkered flag. Featuring an all-new story mode, players will be able to live the life of a rookie rider and earn a path to the ranks of professional racer. Players will experience the drama and intensity of realistic offroad racing with increasingly difficult race challenges and events all tied together with engaging, story-driven Full Motion Videos (FMVs). ATV Offroad Fury 4 adds cross communication capabilities with ATV Offroad Fury Pro for the PSP (PlayStationPortable) system, including vehicle exchanges and upgrades, shared online communities, and the ability to share user created circuits. Adding to the selection of classic ATVs, more than 30 new vehicles are available to race including MX bikes, buggies, and trophy trucks. Extensive vehicle customization provides players the chance to upgrade a vehicle's suspension, engine, gearbox, exhaust, intake, and brakes. New Cross-Connection Compatibility with ATV Offroad Fury Pro for PSP – Players are now able to share customized circuits, exchange and upgrade vehicles, and access chat rooms and newsgroups with the upcoming ATV Offroad Fury Pro for PSP. [SCEA]",77,8.8
ATV Quad Power Racing 2,PlayStation 2,"January 13, 2003","ATV: Quad Power Racing 2 is all about big tricks, big boots to the face and big finishes. It's arcade ATV racing like you always wanted it to be. ATV Quad Power Racing 2 combines 10 of the top pro riders in the world (including Dana Creech, Kory Ellis and Tim Farr) and 40+ real-life sponsors with the fast, edge of your seat, arcade gameplay the fans of the original know and love. Get ready to get injured. [Acclaim]",68,7.2
ATV: Quad Power Racing,PlayStation,"August 23, 2000","Hit the dirt with the only quad racing game available! Power slide, roll over, crash and take on the competition in rough terrain with ATV: Quad Power Racing!",42,4.5
Aabs Animals,PlayStation 3,"December 17, 2013","Different to normal games, 'Aabs Animals' is an animal entertainment content that does not have any achievement targets for players.

-To love animals
-To have the animals close to you and use them as a digital photo frame
-etc...
Have fun with the animals the way you like.

'Aabs Animals' is also released on PlayStationVita system.

'Aabs Inc.' donates a few percentage of its sales to public organizations for animal protect etc..
About the donated organization and amount of donation, visit the official website below.
http://www.aabs.co.jp",tbd,tbd
Aaru's Awakening,PlayStation 3,"April 7, 2015","Defeat a chilling evil
Awaken your power

Can you restore the balance between Dawn, Day, Dusk and Night? With the world of Lumenox under threat by Nights dangerous deeds, only Aaru has the gifts to save this mythical land.

Become Aarus courage and use his powers of teleportation and charging to travel to Nights domain. On your journey youll discover helpful friends... and deadly foes. Only the fastest fingers and quickest wits can solve the fiendish puzzles that await you...",tbd,0.4
Absolute Supercars,PlayStation 3,"November 6, 2012","Available this December on PlayStation Network for $9.99, Eutechnyx’s Absolute Supercars allows people of all ages and skill to get behind the wheels of some of the world’s most powerful supercars. Take part in quick races, time trials, championships and even an epic Career mode in an attempt to earn the big bucks and fill your Showroom with a cavalcade of stunning motors! From Ferrari, to Pagani, to Aston Martin and McLaren, there's a car for everyone and a series of stunning tracks to race them on.",tbd,5.9
Abyss Odyssey,PlayStation 3,"July 15, 2014",From indie Chilean developer ACE Team comes a new side-scrolling action adventure game featuring a complex fighting engine in procedurally generated levels that destines its three warriors to battle a different abyss each time!,70,6.2
Acceleration of SUGURI X-Edition,PlayStation 3,"February 15, 2011","In Acceleration of Suguri X Edition, players take on the role of a scorned robot to maneuver through arcade storylines and battle other robots.",61,5.5
Ace Combat 04: Shattered Skies,PlayStation 2,"November 1, 2001","The Ace Combat series soars once again. Experience aerial combat like never before. A brand new gripping storyline and 18 fabulous missions will keep pilots-to-be on the edge of their seats. Released as ""Distant Thunder"" in UK & Europe. [Namco]",89,8.7
Ace Combat 2,PlayStation,"July 31, 1997","We've devised a weapon that's deadlier than a smart bomb. It's called a smart pilot. Now, Ace Combat 2 pits you against a whole squadron of them - 3-D polygonal jet jocks that maneuver like the real deal, turning every scorching sortie and dogfight into a kill-or-be-killed situation. With nearly double the missions of its predecessor, you'll double your chances of taking out the enemy. (Or taking a heat-seeker up the exhaust.)",83,8.6
