name,platform,release_date,summary,metascore,userscore
Ape Escape,PlayStation,"May 31, 1999","A boisterous band of baboons carry out a daring zoo escape. It's ape anarchy and it's up to you to stop the chimps before they make chumps out of the human race! Use both analog sticks to operate great gadgets including a Tank, a Remote Control Car, a Stun Club, and a Time Net in your quest to hunt down over 200 apes!",90,8.5
Arc the Lad Collection,PlayStation,"April 18, 2002","The Arc the Lad Collection is ultimately an interesting, varied, and rewarding experience that has a tendency to sometimes get bogged down.",78,8.5
Army Men: Air Attack 2,PlayStation,"September 26, 2000","Plastro, the nefarious leader of the Tan army, has enlisted the help of the villainous Baron von Beige to help him set a trap for Captain Blade! The Alpha Wolf Squadron once again 'takes to the skies' with an onslaught of new missions, improved helicopters and more pyrotechnic weaponry than ever before. Join the Air Cavalry as they face a host of challenging foes in their efforts to stop the General's evil plans.",74,6.7
Army Men: Sarge's Heroes 2,PlayStation,"November 21, 2000","If you look up the definition of the word ""poor"" in a dictionary, there's a good chance you'll see Army Men: Sarge's Heroes 2 staring back at you.",48,6.8
Army Men: World War,PlayStation,"February 29, 2000","The Green and Tan Nations have broken off peace talks. There is no choice but to prepare for battle. Only after storming the shores of the enemy homeland pushing through thick jungles, and securing war-torn cities, does the ultimate victory await. Dive back into the trenches!",50,6.9
"Army Men: World War - Land, Sea, Air",PlayStation,"September 20, 2000","The enemy Tan army is once again mobilizing all over the world and is preparing for an all out invasion of the Green territories from all fronts. You Green squad has been dispatched to various parts of the world to squelch the Tan's plans. You have all the Green forces at your disposal, whether it be on land, sea or ait!",35,tbd
Backyard Soccer,PlayStation,"September 28, 2001",,tbd,tbd
Ball Breakers,PlayStation,"July 26, 2000","Sentenced to eternity in an ultra violent intergalactic prison for a crime you didn't commit, you only have one shot at freedom, and it's a long hard road to roll down. You will have to go head to head with the ""Best of the Worst"". The most vicious and violent humanoid prisoners the galaxy has to offer. Fight your way across the universe, beating any and all opponents... If you're tough enough, you can win back the freedom that is rightfully yours... if you're the last man rolling!",68,5.3
Batman Beyond: Return of the Joker,PlayStation,"November 20, 2000","Based on the cartoon series, you take on the role of the new Batman and must save Gotham City from the Joker and his henchmen.",tbd,3.8
Battle Arena Toshinden,PlayStation,"September 9, 1995",,69,8.7
Big Bass Fishing,PlayStation,"May 2, 2002","Choose from three separate game modes and compete in five different events including Free Fishing, 3-Day Tournament, and Beat the Clock! Hook a prize-winning fish with 20 unique lures such as Spinners, Bass Bugs, Bucktails, and more! Reel in 14 different types of big freshwater fish like Spotted Bass, Redeye Bass, and Rock Bass!",tbd,6.9
Blade,PlayStation,"November 23, 2000","Activision has enjoyed a pretty strong track record when it comes to translating comic books and movies into game form, but it's failed on both accounts here.",51,8.0
Bomberman Party Edition,PlayStation,"September 19, 2000","Bomberman Party Edition manages to succeed where many previous attempts have failed, delivering an uproariously enjoyable multiplayer experience.",79,7.9
Brave Fencer Musashi,PlayStation,"October 31, 1998","Brave Fencer Musashi has been summoned to stop an ancient evil force, to save the kingdom and rescue the princess.
Embark on a wild, comical, Action/RPG adventure in a massive 3-D world filled with platform-style action, two-fisted sword fighting, challenging puzzles, and scores of enemies whose skills Musashi can learn and use to his advantage. Locate five powerful magical scrolls to conquer the twisted Thirstquencher Empire.",81,8.6
Breakout,PlayStation,"September 22, 2000","Your mission: destroy the evil Batnix!
Breakout will wow you with constant surprises-from being chased by a giant, ferocious wolf, to battling an ancient mummy in the dark depths of a myterious Egyptian tomb! With over thirty challenging Breakout locations - including a dank, dark prison cell, a menacing Dragon owned castle, a deranged animal infested farm and the darkest reaches of outer space - the demolition fun just goes on and on. Featuring countless challenge modes, secrets, bonuses, and multiplayer mayhem, just pick up and play for fast and furious arcade action!",tbd,tbd
Breath of Fire IV,PlayStation,"November 28, 2000","After centuries of war, the two lands bordering an impenetrable swampland have finally reached an armistice. Mysteriously, the noble Princess Elena disappears somewhere near the war-ravaged front lines. Distraught, her sister Nina goes in search of the Princess alone and on her journey, meets a mysterious young warrior named Ryu. Their destinies soon entwine. The next chapter in the epic tale of magic and mystery now unfolds. The fate of what lies ahead rests in your control.",83,8.6
Bugs Bunny & Taz: Time Busters,PlayStation,"November 24, 2000","Join Bugs and Taz in their first ultimate action-packed adventure through time! Experience original gameplay that let's you switch between Bugs Bunny and Taz, to conquer obstacles and adversaries. Face off against classic Looney Tunes adversaries like Yosemite Sam, Elmer Fudd, Babba Chop and Count Bloodcount. Explore 4 exciting time periods - The Aztec Era, The Viking Era, The Arabian Era and Transylvanian Era. Enjoy over 30 levels of sporting contests, quests, boss encounters, and crazy chases. Play with a friend in the first ever 2-player cooperative gaming for the PlayStation!",72,8.2
Bushido Blade,PlayStation,"September 30, 1997","""Bushido"" is the soul of Japan - an ancient honor code deeply followed by samurai warriors for centuries.
Plunge into real world battles across vast 3D environments that you can run, slice and tear through.
Sword matches become unbelievably real where one critical blow is the mean difference between death and victory.",83,8.2
Bust A Groove 2,PlayStation,"March 31, 1999","In the tradition of Bust a Groove, Bust a Groove 2 is a captivating game about music, rhythm, dancing, style and competition. In Bust a Groove 2, you control one of 18 characters who compete in an epic dance-a-thon in dynamic dance venues around the world and the universe. Bust a Groove 2 has spectacular, fluid dance moves that allow even a casual gamer to become a natural dancer after just a few minutes.",66,8.6
Buzz Lightyear of Star Command,PlayStation,"September 26, 2000","Only you, Buzz Lightyear, and your elite Space Ranger team can defeat the evil Emperor Zurg in his dark quest for universal domination! Blast off with power-ups like shields, rockets, homing weapons and lightning beams. Fight on jetpacks, hoverboards, jetbikes and more! Explore 12 levels in seven amazing worlds, including Planet Z.",54,7.1
C-12: Final Resistance,PlayStation,"July 22, 2002","The population is threatened with near extinction as hostile alien forces ravage the planet, converting human survivors into cyborg warriors. Working against all odds and armed with an Alien Imaging Unit that has replaced his left eye, Resistance fighter Lt. Riley Vaghan must use firepower, stealth, intelligence and sheer determination to save humankind from impeding doom.",63,8.2
Capcom vs. SNK Pro,PlayStation,"August 14, 2002",Two monster corporations at war. One solution. A massive martial arts event is organized to settle the score and eliminate all conflict between the two parties. Join over 30 brawlers from Capcom's legendary Street Fighter and SNK's renowned King of Fighters series; as they fight for universal domination. Capcom vs. SNK PRO...the ultimate collision of strength and power.,74,8.5
Castlevania Chronicles,PlayStation,"October 8, 2001","Count Dracula has been resurrected to begin a new reign of terror across the land. As Simon Belmont, descendant of legendary vampire hunters, you enter Dracula's estate to face the Count and his minions - alone. Be prepared for one of the first adventures in the Castlevania series ever!",69,7.0
Castlevania: Symphony of the Night,PlayStation,"October 2, 1997","As a descendant of Dracula, you must end the vampire bloodline. Can you rid the world of this unspeakable terror? Uncover the mystery of Castlevania and challenge an adventure as legendary as its name. Over 140 different enemies, bosses, and ghastly creatures. Awesome magical spells - transform into a bat, a wolf, or etheral mist. Hidden weapons, secrets, and characters...the largest Castlevania ever!",93,9.0
Championship Motocross 2001 Featuring Ricky Carmichael,PlayStation,"January 30, 2001","It's a solid game that's fun to watch, but it's no longer the only game in town.",70,7.3
Championship Surfer,PlayStation,"December 4, 2000","While far from perfect, it is easily the best surfing game on the market, but more importantly, it's also a fun game.",57,tbd
Chicken Run,PlayStation,"November 13, 2000","Behind the barbed wire fence of Tweedy Farm, Ginger is a chicken with a mission. Fearing for the lives of her friends, she is determined to escape to freedom before it is too late. To do this she enlists the help of Rocky, the smooth talking, flying Rooster...or is he?

Guide a rescue attempt to get all of the chickens to safety before they end up as pies. To do this you will have to sneak around the farm collecting objects necessary for the escape. Be careful not to disturb the dogs and avoid being caught by Mr. and Mrs. Tweedy at all costs in this humorous, 3D action game. ",75,7.1
Chrono Cross,PlayStation,"August 15, 2000","Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.",94,8.8
Clock Tower II: The Struggle Within,PlayStation,"October 31, 1999","Clock Tower II: The Struggle Within features all the suspense and terror that kept you on the edge of your seat in the original, but this time with a twist. Alyssa Hale must learn to control her split personalities as she attempts to solve this horrifying mystery. Having been burned alive, she has arisen and is out for revenge. Armed only with multiple personalities, she is thirsty for blood.",49,5.9
Colin McRae Rally 2.0,PlayStation,"December 5, 2000",Colin McRae Rally 2.0 represents one of the most solidly addictive racing experiences that money can buy.,90,8.4
Colony Wars,PlayStation,"October 31, 1997",Delivers the real experience with its spectacular cinematic graphics.,91,8.3
Contender 2,PlayStation,"December 19, 2000","Contender 2 is a much more enjoyable arcade-style boxing game than its processor, and fans of the original game, as well as fans of the genre, will undoubtedly enjoy it.",tbd,tbd
Cool Boarders 2001,PlayStation,"October 31, 2000","Rip it up with 10 World Class professional snowboards, including snowboarding champions Todd Richards, Barrett Christy, Kevin Jones, Michele Taggart, Jeremy Jones and Tara Dakides. Tweak your grabs on more then 20 huge, branching courses in 6 killer events. Carve the slopes against the pros in the intense Pro Challenger mode. Shred powder against the best! Sick tricks, grabs, grinds, board tweaks and special moves. Create your own rider and look like a pro boarder with authentic gear from top snowboarding sponsors.",56,4.7
Countdown Vampires,PlayStation,"August 21, 2000","In Casino City, Plata Losa... On the eve of a grand opening party for ""Desert Moon""--a new hotel casino wiht a horror theme--Detective Keith J. Snyder, assigned to VIP security, is unexpectedly drawn into a horrific nightmare. At the height of the party festivities, a fire breaks out. Emergency sprinklers extinguish the fire, but they also spray some revelers with a mysterious black liquid that suddenly transforms them into vicious vampires! An ominous warning declares that the casino doors will be sealed shut in three minutes. Keith is desperate! But, risking his own survival, he carries out his duty to search for VIP guests and opens new doors to ""Desert Moon.""",41,5.4
Crash Bandicoot 3: Warped,PlayStation,"October 31, 1998","This time the game takes place across a great expanse of time and space, making for greatly diverse level designs, which in turn keep the game fresh.",91,9.0
Crash Bash,PlayStation,"November 6, 2000","Crash and his friends are back in a knockdown, drag-out arena rumble.  Get ready to ride, race, jump, throw, and battle it out to the finish in frantic, head-to-head battles, and heart-pumping chases.  Choose your favorite character, including Crash, Coco, Dr. Neo Cortex, and new baddie Rill Roo, and race for points in more than 30 competitive events.  With a Multitap, you can race up to three of your friends and show who's the top bandicoot.  It's a good old-fashioned bandicoot brawl.",68,8.0
Crash Team Racing,PlayStation,"September 30, 1999","It's a multi-player kart racing game starring your favorite bandicoot CRASH and a host of his friends...and foes! The stakes are high and the competition is fierce. Ready...Set...GO!!!


",88,9.0
Creatures,PlayStation,"May 18, 2002",,43,6.4
Dance Dance Revolution,PlayStation,"May 9, 2001","Dance Dance Revolution brings the dance floor to the home floor. Straight from the arcades, the hottest dancing game lets you step into the spotlight and show your moves on the PlayStation® game console. Heat up the dance floor and put your skills to the test as you move to the groove. Let the pulsating music and colorful graphics excite your senses while you become a star.",90,8.4
Dance Dance Revolution Disney Mix,PlayStation,"September 17, 2001","If you're a DDR fan who hasn't already imported the bevy of dancing games available in Japan, DDR Disney is worth checking out.",74,8.2
Dance Dance Revolution Konamix,PlayStation,"April 25, 2002","The hottest dancing craze continues with a brand new sequel to Dance Dance Revolution. Straight from the arcades, step into the spotlight and put your skills to the test as you move to the groove. Get ready to dance the night away with all-new songs and game modes. Let the pulsating music and colorful graphics excite your senses while you get your dancin' fix with Dance Dance Revolution KONAMIX.",84,8.7
Danger Girl,PlayStation,"September 6, 2000","3rd person action-adventure has never been sexier with DANGER GIRL, the only videogame based on on the best-selling comic book series by J. Scott Campbell and Andy Hartnell. Dare to take control of 3 beautiful yet leathal Danger Girls in an espionage-themed thrill-ride deemed to dangerous for any man to handle!",43,5.7
Darkstone,PlayStation,"January 28, 2001",Darkstone makes an excellent case for making a modest $10 investment.,58,7.6
Dave Mirra Freestyle BMX,PlayStation,"September 26, 2000",The only major flaw in Dave Mirra Freestyle BMX is that the game is a touch on the easy side.,82,7.0
Dave Mirra Freestyle BMX: Maximum Remix,PlayStation,"May 21, 2001","The graphics in Maximum Remix are roughly identical to the first game, so you're stuck with muddy, ugly textures and quite a bit of texture warping.",67,7.3
Dead or Alive,PlayStation,"March 31, 1998","The fighting game  you've been waiting for...Purist fighting for purist fighting fans. No lightening bolts, no magic tricks, no weapons...Your survival is all in your own hands.",84,8.3
Delta Force: Urban Warfare,PlayStation,"July 2, 2002","Delta Force features tactical, stealth-based combat from a first-person perspective.",70,7.6
Destruction Derby Raw,PlayStation,"September 26, 2000",Destruction Derby stands alone as the premier demolition racing series on the PlayStation.,69,7.0
Digimon Digital Card Battle,PlayStation,"June 28, 2001","If you're dreaming of a DIGIMON scenario where humans and monsters could live together and participate in Digital Card Battles, then wake up! This is it! Three Partner Decks will be at your disposal throughout play: Veemon will help you with offense; Armodillomon will chip in on surprise attacks; and Hawkmon will lend itself to quick digi-volving. With 40 new characters and 30 awesome power-up cards at your disposal, this is a DIGIMON experience for monster trainers of all ages. ",51,8.7
Digimon Rumble Arena,PlayStation,"February 24, 2002","Cute, Cuddly, and Ready to Rumble! Digimon Rumble Arena comes to life in this truly Digimonumental release! With user friendly controls and loads of adventure, it's easy to learn, yet hard to put down. Fun for the entire family, Digimon Rumble Arena provides classic fighting gameplay for 1 or 2 players.",64,8.7
Digimon World 2,PlayStation,"May 19, 2001",Protect the peace of Digimon World! Undiscovered adventures! Train the strongest Digimon! Cruise Digimon World in your Digi-Beetle! Fierce 3-on-3 high resolution polygon battles!,42,8.0
Digimon World 3,PlayStation,"June 5, 2002","In the near future, when computer technology has advanced...Junior, a 12 year old boy, and his friends Teddy and Ivy are playing the hottest game around, ""Digimon Online."" In this game, the players enter the Digital World and travel on an exciting adventure with Digimon. But one fateful day when the friends are in the middle of the game, an accident occurs and they become trapped inside the Digital World! Is an evil plot brewing in the Digital World? You, as Junior, must now go on a quest with your Digimon to save the Digimon, and rescue your friends!

",47,8.6
Dino Crisis 2,PlayStation,"September 29, 2000","In the first Dino Crisis, Regina fought for survival against raging prehistoric dinosaurs and helped capture rogue scientist Dr. Kirk, but the threat is far from over. Despite these past events, research continued on Third Energy, which led to the disappearance of a military base, a research institute, and an entire town. Armed with the latest in heavy artillery, Regina and her team get to the root of this latest catastrophe. With more dinosaurs, environments, and weapons, you must be ready to hunt or be hunted.",86,9.3
Disney's 102 Dalmatians: Puppies to the Rescue,PlayStation,"November 8, 2000","It's puppy power to the rescue! As Oddball or Domino, it's up to you to rescue your captured puppy friends from the evil clutches of Cruella De Vil and her army of pet-napping toys!",tbd,7.5
Disney's Aladdin in Nasira's Revenge,PlayStation,"March 15, 2001","Aladdin is about to face his biggest adventure yet. He's got to dart through the marketplace of Agrabah; break his way through the Palace; escape imprisonment in the dungeon; journey through an oasis; survive the fiery Cave of Wonders; rescue Jasmine from booby traps in the Pyramids; save the Sultan from the grasp of evil in the Ancient City; and battle Nasira in her secret lair, And Jafar is never far away...",61,7.2
Disney's Atlantis: The Lost Empire,PlayStation,"June 14, 2001",Atlantis: The Lost Empire is based on the Disney movie of the same name and follows the exploits of four characters from the movie as they attempt to discover the hidden underwater world.,73,8.0
Disney's Dinosaur,PlayStation,"August 29, 2000","Danger lurks at every corner as you lead the dinosaur herd through scorching lava flows, toxic smoke and scalding geysers. It's the ultimate challenge for survival.",44,tbd
Disney's Donald Duck: Goin' Quackers,PlayStation,"November 14, 2000","Those who want a deeper, more satisfying platform adventure should probably save this for a weekend rental.",65,7.5
Disney's Lilo & Stitch,PlayStation,"June 14, 2002","While Lilo & Stitch was clearly designed as one for the kiddies, they likely will not be able to surmount its technical limitations.",54,6.8
Disney's The Emperor's New Groove,PlayStation,"November 13, 2000","Take on, self-absorbed Emperor named Kuzco. Add a devious royal advisor named Yzma, her brawny assistant Kronk and their potion that turns Kuzco into a llama. Introduce a good-hearted peasant named Pacha, to help Kuzco. And, what do you get? Al-paca trouble!",66,7.3
Disney's The Lion King: Simba's Mighty Adventure,PlayStation,"December 22, 2000","As the young lion prince Simba, you'll grow to discover what it means to be rightful ruler of the Pride Lands. But first you'll have to outrun a wildebeest stampede, escape a wildfire and more! There's never a dull moment when you're King of the Beasts!",30,7.0
Disney's Treasure Planet,PlayStation,"November 11, 2002","Get ready for an epic adventure of bloodthirsty pirates and buried treasure. Treasure Planet brings Robert Louis Stevenson's Treasure Island not just right up-to-date but into the future--one in which the spaceship Legacy is overrun by mutinous pirates, led by the cyborg John Silver. You'll take on the role of Jim as he solar-surfs and performs action moves with the help of Morph, who can transform into various items. Embark on a voyage through 10 levels, minigames, and boss challenges as you view original artwork, behind-the-scenes game footage, and stored movie clips.",44,6.8
Dragon Ball Z: Ultimate Battle 22,PlayStation,"March 25, 2003","The Japanese blockbuster is here! An international smash hit, this vintage Dragon Ball Z® fighter features 22 famed DBZ® warriors for you to recreate epic, one-on-one Dragon Ball Z® battles. Easy to play but tough to master, this long-awaited classic offers matchups from the Buu™, Frieza® and Android Sagas. Experience the DBZ® game that has thrilled fans all over the world!",25,5.1
Dragon Valor,PlayStation,"October 16, 2000","The branching family tree adds a measure of replay value, but the game is average enough that few will want to play it through more than once.",57,8.6
Dragon Warrior VII,PlayStation,"October 31, 2001","You plan to become a humble fisherman of peaceful Estard Island, the only land in a world of ocean. But when you discover the artifacts from an ancient land, you tear the fabric of time and unveil the world that once was. Transported to past lands, you must solve their mysteries and break the spell of annihilation. Prepare for your destiny!",78,8.2
Driver,PlayStation,"June 30, 1999","In Driver, you are the wheelman in a series of Hollywood-style car-chases.  A great getaway driver is only as good as his equipment, which is why Driver has a selection of performance-packed muscle cars, complete with realistic handling, damage modeling, and real-world physics reactions.  Driver also comes fully equipped with a replay/director mode that gives you all the necessary tools to ""film"" their own car chase and multiple views that allow you to look around when you're driving.  Put the pedal to the metal and be the best driver around.",87,8.0
Driver 2,PlayStation,"November 13, 2000","The crime world's fastest getaway driver is back on the streets in Driver 2, the sequel to the action-packed Driver.  Like its predecessor, Driver 2 is an adrenalin-fueled, high-speed car chase through the streets of four cities, where you, as Tanner, infiltrate the criminal underworld, using your driving skills as well as your cunning to disrupt their plans.  All the true-to-life features of Driver; such as realistic car handling, complete with damage modeling and true, real-world physics reactions on all cars; extensive production, giving the cities an amazing realism, featuring recognizable landmarks; new features such as foot missions, dual player, and the enhanced cut scenes make this game a real adrenalin rush.  ",62,7.7
Ducati World Racing Challenge,PlayStation,"January 2, 2001",Ducati World Racing Challenge makes a good effort at providing the kind of gameplay and variety that racing fanatics desire.,68,tbd
Duke Nukem: Land of the Babes,PlayStation,"September 19, 2000","In the distant Future, vicious aliens rule the Earth. Only bodacious babes survive, enslaved by the hostile alien overlords. The women and the world need a hero. And there is only one man big enough for the job! Duke Nukem is back! And he's ready to score!",37,6.9
E.T. Interplanetary Mission,PlayStation,"December 30, 2002","Join E.T. for a space odyssey to six dangerous alien planets. Your mission is to find rare and exotic plant specimens to achieve a truly cosmic goal: Save the UNIVERSE!!! Throughout your adventure, you'll need E.T.'s special powers of Telekinesis, Heart Stun, Healing Powers, and Telepathy to help unravel puzzles achieve mission critical objectives. Do this while neutralizing dangerous alien creatures and threatening government agents, and you'll be a hero.",50,4.0
ECW Anarchy Rulz,PlayStation,"August 18, 2000","While Anarchy Rulz bears the ECW logo, the wrestling action is simply too low impact and refined for the likes of this brutal organization.",43,6.4
ESPN MLS GameNight,PlayStation,"September 19, 2000","Konami has gone to great lengths to integrate two- and four-player capability into each of the game's non-season modes, which opens up the possibility of introducing your sports-phobic friends to a soccer game they can actually play.",70,tbd
Einhander,PlayStation,"May 5, 1998","Pilot the most technologically advanced shooter ever created. You're a suicide pilot up against Earth's final assault. Cut through hordes of enemy fighters and battle the most monstrous bosses ever designed. Pilot fully loaded tactical fighters. Modify speed and agility on the fly. Single, double, and triple gunpod designs. Extendible claw for stealing enemy weapons. Armed for gatling guns, homing missiles, cannons, and more. Two bonus fighters earned through meritorious battle.",89,8.7
Elemental Gearbolt,PlayStation,"June 30, 1998","In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace. One or two players can assume the identities of these Elementals as they crusade for an unknown master toward a climactic battle. The gripping story unfolds by means of heart-stopping fully-3D action levels interspersed with gorgeous hand-drawn animation scenes. This is the game for which VISA was invented--what are you waiting for?",76,tbd
Evil Dead: Hail to the King,PlayStation,"December 4, 2000","Had the battle sequences not been so maddeningly frustrating and frequent, Evil Dead: Hail to the King would at least weigh in as a decent Resident Evil clone, but they work to make the game almost unplayable.",51,6.3
F1 Championship Season 2000,PlayStation,"September 30, 2000","EA has created the best-looking and best-sounding PlayStation Formula One title to date, and it has excellent gameplay and features to boot.",66,7.5
FIFA 2001 Major League Soccer,PlayStation,"November 14, 2000","Though FIFA 2001 is a solid enough game in its own right, the game's lack of innovation or significant upgrades keeps it from having the same impact as FIFA 2000.",85,7.2
FIFA Soccer 2002,PlayStation,"November 1, 2001","The PlayStation version of FIFA 2002 doesn't quite have all the features available on the PlayStation 2, but it makes a solid case for an investment on its own.",81,6.0
FIFA Soccer 2003,PlayStation,"November 11, 2002",The latest installment in EA Sports' series of soccer games promises to be the most comprehensive to date.,tbd,6.4
FIFA Soccer 2004,PlayStation,"November 4, 2003","FIFA Soccer kicks its game up a few notches with new installment, FIFA Soccer 2004.  This year's action features more advanced levels of player detail and responsiveness.  Play as one of the best players from 16 leagues and 350 teams, from Europe's super leagues to the Americas.  Plus, a new Career Mode gives you the chance to take a team from the lower divisions, battle through ranks, sign new players, and turn them into champions.  With immersive atmospheres, total realism with the world's premier clubs, and improved gameplay, FIFA Soccer 2004 looks to reach the goals of soccer fans.",tbd,7.0
FIFA Soccer 2005,PlayStation,"October 12, 2004","FIFA Soccer 2005 gives you more control than ever with improved button and control sensitivity and an intuitive Off the Ball Control. Now you can take command of players not in possession of the ball by calling in tackles, jostling for space, and sending your teammates on runs as you control the pitch. With more than 350 official team and league licenses from around the world, an enhanced Career mode, and an improved broadcast, FIFA Soccer 2005 gives you a complete and authentic soccer experience.",tbd,5.7
Fear Effect 2: Retro Helix,PlayStation,"February 21, 2001","Fear Effect 2: Retro Helix is the prequel to the critically acclaimed hit Fear Effect on the PlayStation game console. In this chapter, we delve into the colorful histories of the original cast of three mercenaries as well as the extraordinary circumstances that brought them together.
- Hana Tsu-Vachel, our beautiful assassin, trained to deal in love as well as death, desired by many yet belonging to none.
- Royce Glas, a master operative in the field of counter intelligence whose daily existence is haunted by his dark past.
- Jakob 'Deke' Decourt, a cold-blooded killer driven by money and murder.
- Introducing Rain Qin, close companion to Hana with unparalleled beauty wrapped around a dark secret core.

Their adventure will take us to the chaotic alternate reality of Hong Kong, Hells Kitchen in New York City, the formidable Walled City of Xi'an, the lost tomb of the First Emperor of China and finally into the legendary mountain-island of the immortals; Penglai Shan. As they reach their final destination and come face to face with Rain's evil twin sister Mist, in this faithful moment in time, you will get to decide who is to live and who is to die.",84,6.9
Final Fantasy Anthology,PlayStation,"September 30, 1999","Final Fantasy Anthology combines two titles from the Final Fantasy series and offers PlayStation owners a glimpse into the past.  Huge worlds, in-depth storylines, and innovative battle and magic systems, and an incredible cast of characters all make for a deep gaming experience.  The inclusion of Final Fantasy V marks the first time this title has appeared on a console in North America.  Final Fantasy VI, originally released as Final Fantasy III on the SNES system in the U.S., makes its first appearance on the PlayStation.  Both games in this compilation feature never-before-seen CG movies, adding to the appeal of these classics.  ",80,8.7
Final Fantasy Chronicles,PlayStation,"June 29, 2001","When these games came out, they defined what adventures should be. Since then, they have become the most popular and sought-after titles in history. Now you can experience the re-release of two complete, classic games, enhanced with all-new cinemas and features never before seen in the U.S. Final Fantasy IV was previously released as Final Fantasy II, but has been completely restored with new magic, monsters, items, CG cinemas, and added features. Chrono Trigger is a re-release of the original game. This time-traveling prequel to Chrono Cross is enhanced with all-new animated scenes.",89,8.8
Final Fantasy IX,PlayStation,"November 13, 2000","The last Final Fantasy for the PlayStation, Final Fantasy IX returns to the pure fantasy roots that spawned the series.  This latest installment features highly detailed characters, vehicles, and environments, and breathtaking cinema-graphics.  The addition of brand new features such as the story-enhancing Active Time Event system and the return of minigames that grant additional gameplay make Final Fantasy IX not only a memorable gaming experience, but also a significant step forward in the series.",94,9.0
Final Fantasy Origins,PlayStation,"April 8, 2003","Final Fantasy Origins delivers the first two games in the Final Fantasy series.  Originally released in 1998 in Japan, Final Fantasy II never came to North America, but now RPG fans will be able to experience the emotion-packed sequel and its predecessor with all-new event scenes, enhanced graphics, and improved sound.  Whether you're on a quest to recover a magical Crystal or on a journey to stop a merciless ruler, both games provide grand stories complemented with deep characterization and touching music.  ",79,8.5
